Time	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
0.000000	39482	45342	42180	42590	36449	30120	27877	33873	30343	34158	33063	34945	30964	36057	38153	35655	33092	34686	34500	35056	40857	41005	36436	37660	45472	38061	39565	40990	40016	40286	39609	40239	36252	37815	40013	39032	42526	41687	42424	41999	39937	37183	36309	38959	41489	40265	38769	39057	42202	46544	45054	45760	39717	36982	36625	40599	38204	40073	39582	41519	40947	37739	38725	36742	38083	31598	37823	34344	37179	37913	38902	38683	39241	40791	38510	38923	37173	38504	32539	34742	35985	41717	42433	41869	42822	40121	38294	38018	38050	37486	40647	40064	41358	43143	43399	43592
0.088611	59150	68841	61793	57221	34548	35507	32423	41380	34270	44199	43787	40749	32212	42186	43284	41535	34592	38285	37567	37079	44136	45967	37085	42403	47502	44463	47020	49233	46879	43477	41779	39549	33289	40503	37619	38121	48536	49294	48905	43882	41733	33030	32583	36619	40061	41491	37568	38272	44794	51673	47646	48506	37187	31989	32819	38028	33791	34315	35983	38425	44102	32255	33495	32616	34013	29215	32543	31989	32082	32650	35043	34791	37537	35337	33458	33147	33221	33692	31188	32223	29528	37069	38056	38435	48028	35150	31610	31352	32803	32147	37165	34867	38573	40894	42074	47890
0.177222	55307	65266	60446	56698	32777	36726	32852	40847	34549	42276	42584	38453	29305	40742	42373	41466	32637	40622	40019	39451	46848	47983	38178	42759	42287	44369	46954	50085	46783	46055	44739	42368	34032	42170	40135	37747	45053	47900	48341	45197	42446	32358	29447	38288	41418	43368	38915	38129	41448	51092	48986	49907	38994	29733	29446	39797	33893	33629	35894	36771	42250	29718	31167	29024	34381	26198	29432	28188	29462	29982	34522	33308	36089	34373	30699	29715	29534	30057	28288	28478	27774	36093	37132	36491	45603	33693	29367	29290	30936	30038	35944	33087	37263	39336	39876	44862
0.265833	51975	60029	56300	52375	30892	35222	31343	38434	32462	39682	39942	36778	28085	37469	40462	39052	30754	38200	37472	37136	43252	45076	35524	40310	42429	41426	44282	46506	43610	42877	41677	39776	32089	38892	37637	35713	41903	45241	45007	42386	39990	30462	27718	35820	39160	40561	36735	35804	38743	47175	45810	46855	36996	27917	27496	37327	31770	31843	33805	34985	39627	27596	29046	26824	32796	24022	27592	26019	27516	28166	31395	31939	34010	32225	28716	27510	27387	27990	26175	26217	26609	33865	34747	33805	43525	32139	28007	27900	29574	28539	34139	31413	35040	37507	37534	42375
0.354444	49730	56839	53456	49998	29677	33801	29638	36385	31278	37988	38078	35366	27201	35984	38372	36887	29764	36099	35656	35295	40497	41834	33976	38151	41187	39189	41724	44263	41202	40864	39502	37540	30557	36335	35485	34215	39833	42871	42637	39963	37738	29148	26314	33999	37208	38090	34973	34243	37158	44462	43269	44096	35077	26576	26187	35654	30151	30235	32425	33332	37562	26601	27607	25293	31091	22766	26476	24731	26545	26897	30782	30562	32923	31133	27811	25964	25866	26254	24958	25100	25785	32310	33082	32557	42175	31510	26909	27390	28443	27397	33186	29992	33696	35998	35803	40419
0.443056	48275	54656	51492	48055	28897	33269	28968	35374	30679	37465	37242	34540	26522	34991	37290	35436	28919	34892	34571	33924	38611	39853	32697	36923	38277	37966	39737	42323	39447	39154	37797	36414	29808	34702	33864	33185	38295	40708	40812	37923	36110	27936	25436	32844	35706	36379	33693	33356	36156	42724	41348	42013	34072	25776	25423	34276	29410	29257	31439	32721	36094	25707	27082	24797	30543	21920	25488	23702	25669	26313	30081	29888	31955	30254	26955	25532	25102	25331	24643	24245	25468	30710	31827	31835	41052	31146	26905	27238	27766	26446	32039	28883	32856	35267	34653	39668
0.531667	47335	53467	50515	47282	28392	32438	28122	34987	30055	36538	35951	33776	26035	34324	36673	34835	28742	34407	33903	33151	37747	38424	31852	36582	34989	37118	39011	40579	38103	38148	37061	35510	29307	33506	33212	32773	37718	40123	39543	37354	35203	27411	25116	32478	34891	35582	32774	32715	35451	41837	40660	41164	32965	25219	24816	33648	28756	28204	30478	31945	35324	25546	26520	24457	29734	21516	25162	23188	25068	25543	28995	29190	31579	29491	27032	25126	24645	24863	24346	24193	25080	30402	31341	31568	40906	30791	26453	26608	27113	26097	31146	28292	32185	34858	33979	39093
0.620278	46813	52392	49530	46356	27852	32476	27906	34322	29684	35740	35815	33279	25743	33634	36078	34399	28330	33702	33156	32786	36936	37591	31353	35754	33735	36216	38206	40498	37440	37307	36581	34790	29248	32861	32736	32335	37110	39401	38746	36555	34944	27290	25093	31798	34260	34911	32260	32345	34510	40833	39734	40500	32265	24901	24940	33290	28534	27983	30460	31643	34715	25037	26286	24191	29371	21128	24917	22910	24971	25516	28716	28829	30999	28984	26854	24828	24232	24631	24027	23965	25068	29620	30932	31301	40154	30547	26441	26429	26478	25577	30667	27874	31636	34729	33673	38221
0.708889	46198	51490	48859	45554	27281	32096	27525	33984	29541	35302	35624	32581	25183	32937	35603	33639	27910	33323	32874	32236	36219	37030	31084	35428	32563	35798	37662	38899	36766	36809	36279	34413	28611	32208	32360	31768	36192	38735	37932	36001	34275	27212	24101	31226	33567	34345	31849	31676	33985	40170	39199	39750	31917	24786	24486	32858	27967	27783	30038	30969	34047	24656	26092	23822	28955	21092	24645	22513	24651	25157	28521	28596	30345	28603	26511	24588	24082	24187	23808	23600	24588	29485	30527	30988	39931	29998	26322	26184	25998	25231	30226	27495	31233	34239	33129	37983
0.797500	45458	50679	47603	45026	27003	32167	27662	33513	29261	34636	35212	32360	25040	32839	35066	33105	27337	32863	32616	32044	35804	36262	30965	35210	31046	34997	37105	38419	36248	36328	35609	33721	27998	32007	31795	31193	35766	38210	37365	35455	33792	26803	25141	30897	33005	33863	31356	31519	33719	39782	38384	39463	31633	24450	24430	32565	27996	27541	29796	30721	33659	24346	25642	23447	28598	20947	24317	22249	24561	25132	28492	28382	29971	28336	26670	24235	23606	24048	23531	23281	24258	29196	30017	30859	39111	29834	26243	25940	25734	25218	29794	27093	30664	34107	32915	37222
0.886111	45157	50224	47060	44848	26790	31856	27155	33379	29205	34410	34754	32271	24729	32249	34664	32980	26788	32660	32521	31400	35258	35936	30366	34845	30301	34735	36612	40235	35829	35773	35336	33427	27910	31729	31404	31074	35380	37745	36934	34735	33330	26602	25156	30632	32790	33315	31239	31397	33363	39395	38391	38831	31385	24372	24177	32412	27757	27340	29702	30348	33312	24106	25285	23305	28307	20706	24257	22175	24762	25167	28739	28278	29851	28039	26622	24124	23481	23915	23133	23179	24260	29030	29988	30391	38673	29487	26005	25670	25600	25066	29574	26954	30586	33897	32589	37130
0.974722	45085	49961	46548	44683	26596	32082	27203	33493	29510	34210	34898	31868	24663	32074	34610	32507	26798	32287	32291	31545	34832	35928	30443	34790	29820	34529	36333	39592	35364	35491	34839	33077	27768	31653	31364	30953	34696	37271	36362	34514	32930	26723	25138	30266	32211	33221	31079	31040	32959	38896	37638	38726	30876	24045	24447	32058	27846	27329	29486	30376	32757	23907	25391	23163	28369	20789	24613	22131	24532	25302	29239	28226	29639	27924	26584	23862	23206	23872	23053	23064	24058	28832	29829	30574	38603	29337	26122	25311	25467	24851	29352	26937	30381	33709	32301	36790
1.063333	44844	49708	46060	44276	26339	31908	27154	33173	29883	33858	34485	31674	24240	31816	34121	32463	26466	32307	31790	31186	34488	35658	30071	34558	29764	34051	36105	40236	35359	35476	34507	33135	27433	31445	30970	30595	34305	36818	36290	34095	32716	26402	25096	30328	31905	33010	31074	30979	32474	38669	37228	38569	30645	24149	24418	32151	27847	27177	29359	29837	32651	23790	25390	22874	27971	20721	24378	21836	24614	25243	28493	28502	29218	27602	26604	23784	23273	23622	22895	23030	23365	28800	29643	30276	38082	29231	26161	25125	25219	24732	29295	26576	30163	33445	32262	36556
1.151944	44607	48882	45889	43793	25970	31879	27150	33138	29709	33624	34126	31511	24088	31302	33903	31942	26064	32067	31591	30962	34364	34953	29845	34101	29381	33568	35807	38444	35010	35039	34494	32788	27133	31273	30657	30402	33958	36315	35582	33857	32444	26624	25208	30038	31764	32496	30812	30601	32248	38146	36813	38229	30394	23742	24220	31757	27817	27137	29020	29630	32438	23467	25388	22658	27876	20683	24337	21870	24594	25274	29051	28253	29053	27641	26657	23483	23073	23644	22778	22769	22812	28625	29510	30254	37679	29098	25955	24999	25239	24504	29380	26504	29788	33360	31974	36194
1.240556	44527	48350	45951	43559	25847	31800	27168	32778	29944	33507	34009	31063	23845	31302	33541	31910	26526	31704	31625	30822	33699	34685	29718	34132	28949	33241	35605	40194	34697	34951	34191	32552	26847	30890	30338	29944	33902	35857	35164	33228	32209	26363	25135	29856	31228	32177	30441	30527	32015	37665	36590	37899	30264	23869	24510	31867	27531	27194	29113	29456	32035	23522	25085	22752	27778	20489	24287	21535	24623	25198	29044	28384	29134	27197	26600	23252	22761	23503	22540	22608	22968	28623	29296	30193	37807	29062	25849	24749	25124	24258	28924	26273	29702	33120	31870	36103
1.329167	44254	48092	45598	43251	25605	31794	27061	32738	29682	33161	33811	30820	23667	30910	33389	31393	25902	31464	31171	30332	33408	34472	29669	33827	28685	32954	35205	37838	34440	34367	34037	32448	26715	30693	30188	29975	33249	35804	35214	33017	31617	26222	24865	29510	31070	32155	30197	30354	31579	37595	36124	37522	29737	23578	24335	31715	27251	27145	28753	29325	31906	23301	25078	22325	27387	20469	24471	21430	24667	25341	28564	28354	28885	27065	26501	23250	22775	23217	22324	22368	22348	28352	29317	30212	37097	28764	25823	24662	24784	24256	28553	26174	29582	33164	31614	35851
1.417778	43823	47867	45616	43286	25363	31351	26805	32691	29246	32685	33866	30602	23521	30929	33241	31098	25761	31185	30915	30396	33235	34152	29611	33466	28501	32761	34788	38008	34230	34280	33597	32173	26257	30670	30212	29622	33205	35215	34674	32857	31731	26066	24772	29423	30864	31946	30001	30075	31350	37102	35956	37321	29764	23552	24515	31563	27277	27014	28612	29054	31610	23193	24919	22225	27298	20243	24223	21461	24682	25251	28972	28225	28712	27133	26553	23086	22773	23357	22241	22186	22386	28265	29050	29960	36918	28848	25729	24553	24956	24282	28514	26113	29326	33027	31685	35505
1.506389	43651	47313	45119	42497	25080	31022	26867	32600	29289	32485	33647	30338	23575	30501	32880	30808	25175	30906	30882	30142	33128	33700	29359	33320	28241	32440	34342	35232	33949	33905	33445	31671	26075	30307	29918	29379	32617	35132	34660	32621	31373	25957	24750	28915	30564	31596	29820	29887	31012	37113	35803	37056	29040	23386	24343	31365	27106	26979	28371	28727	31296	22995	24755	22004	27112	20153	24223	21076	24464	25336	29949	28122	28771	26835	26540	22953	22621	22975	22013	22210	22031	27915	28758	29743	36688	28726	25451	24455	24678	23958	28440	25979	28935	32652	31527	35273
1.595000	43501	47273	45034	42298	25007	31155	26746	32283	29193	32390	33637	30093	23198	30221	32641	30707	25725	30547	30554	29613	32707	33543	29073	33116	28179	32110	34020	38197	33649	33673	33127	31535	26001	30000	29758	29317	32415	34903	34162	32420	30972	26079	24715	28771	30036	31361	29755	29689	30821	37386	35351	36731	29060	23385	24528	31163	27062	26889	28409	28818	31128	22884	24772	21948	26934	20167	24164	20910	24550	25390	29580	28047	28290	26805	26365	22776	22417	23095	21998	22132	21743	28139	28829	29832	36370	28528	25407	24279	24532	23847	28163	25716	29018	32783	31543	35264
1.683611	43420	46818	45026	42070	24980	30817	26560	31828	29251	32037	33471	30095	23126	29939	32535	30267	25146	30422	30541	29877	32399	33458	29103	32877	27973	31885	34227	36342	33483	33446	32909	31474	25765	30073	29490	29083	32236	34706	34015	32173	30691	26000	24862	28879	29879	31071	29489	29854	30555	36645	35245	36618	28947	23210	24363	31064	27010	26707	28271	28437	30994	22861	24794	21842	26787	19915	24104	20944	24488	25354	28861	28174	28321	26662	26533	22777	22192	22962	22042	22001	21733	27919	28694	29637	36180	28446	25513	24189	24570	23858	28207	25631	28726	32497	31359	35101
1.772222	42953	46312	44666	42091	24831	30752	26545	31773	28684	31963	33262	29892	23243	29893	32491	30250	24772	30179	30169	29496	32384	33212	28967	32690	27638	31769	33976	36430	33111	33277	32764	31268	25482	29844	29472	29131	32295	34228	33772	31801	30473	26036	24719	28622	29494	31077	29511	29498	30562	36399	34865	36363	28647	23195	24566	30868	26722	26806	28351	28328	30763	22860	24708	21807	26709	19897	24187	20879	24474	25343	30407	28091	28246	26523	26416	22648	22111	22729	21859	21901	21707	28001	28599	29738	36141	28450	25325	23909	24321	23545	27964	25355	28513	32229	31149	34882
1.860833	43008	46219	44036	41914	24548	30686	26546	31384	28775	31557	33118	29652	22757	29763	32299	29899	24875	30073	29760	29133	32197	32770	28983	32662	31387	31466	33281	34269	32901	32998	32457	31001	25652	29695	29115	28738	31661	33687	33204	31591	30178	26010	24688	28504	29678	30595	29096	29214	30247	35741	34491	36369	28481	23099	24563	30903	26926	26896	28044	28220	30518	22609	24609	21857	26503	19747	24149	20732	24783	25496	29587	28216	28004	26539	26398	22422	22026	22865	21792	21694	21338	27895	28388	29523	35838	28415	25305	23936	24173	23425	27879	25457	28670	32237	31286	34527
1.949444	42792	45851	44066	41397	24588	30687	26253	31055	28186	31471	32973	29584	22562	29391	31783	29639	24244	29914	29646	29078	31888	32730	28511	32622	30571	30978	33207	37695	32858	32832	32157	30637	25347	29488	28817	28623	31678	33713	33222	31488	29893	25704	24430	28320	29304	30565	28905	28877	29981	35384	34349	35880	28293	23027	24540	30540	26744	26738	28133	28165	30500	22556	24518	21698	26436	19679	24105	20530	24537	25105	29412	28081	28057	26434	26621	22437	21729	22729	21671	21532	21265	27585	28359	29508	35747	28440	25176	23750	24140	23457	27782	25277	28256	32370	31408	34334
2.038056	42467	45576	43880	41302	24403	30693	26293	31051	28253	31304	32752	29172	22383	29417	31765	29354	23864	29504	29560	29036	31667	32476	28442	32393	29931	30937	33024	35255	32537	32616	32133	30526	25084	29333	28876	28460	31528	33359	33238	31259	29964	25887	24488	28109	28803	30439	28936	28994	29844	35561	34416	35842	28021	22798	24586	30476	26722	26620	28029	28066	30160	22358	24534	21485	26484	19620	24001	20576	24684	25369	30405	28006	27904	26142	26397	22287	21747	22755	21455	21482	21466	27581	28287	29415	35432	28322	25040	23577	23931	23507	27789	25245	28141	31714	31049	34139
2.126667	42209	44957	43513	41216	24284	30437	26144	30918	28237	31264	32518	29182	22522	28983	31618	29358	24549	29509	29282	28785	31418	32326	28331	32261	29199	30693	32652	34292	32345	32375	31644	30262	25320	29230	28580	28540	31286	33083	32747	31028	29657	25736	24474	27969	28745	30389	28811	28703	29674	35469	33918	35671	27951	22571	24695	30279	26842	26548	27955	27878	29984	22374	24598	21256	26159	19598	24049	20489	24742	25477	29494	28010	27795	26071	26599	22244	21557	22496	21389	21411	21246	27697	28233	29294	35439	28343	24984	23527	23857	23321	27599	25158	27903	31742	30946	33941
2.215278	42407	44837	43059	40817	24481	30386	26302	30714	28191	31204	32645	28924	22165	28965	31506	29014	23518	29257	29133	28617	31179	31951	28283	32004	28956	30675	32557	34509	32062	32023	31480	30209	24799	29079	28453	28415	30868	32886	32487	30709	29083	25698	24281	27693	28854	29974	28672	28727	29499	34793	33693	35157	27785	22563	24722	30103	26528	26343	27794	27744	29972	22135	24367	21161	25889	19464	23951	20300	24798	25404	29227	27812	27806	26004	26428	22142	21476	22543	21314	21146	21120	27372	28052	29260	35163	28083	24931	23581	23874	23353	27562	25093	27850	31556	31036	33833
2.303889	42015	44565	43250	40829	24120	30520	26124	30486	28084	31044	32224	28714	22062	28769	31337	28693	23559	29150	29094	28449	31111	31664	28277	31981	28939	30554	32308	35005	32045	31961	31495	30018	24788	29120	28431	28262	30737	32591	32363	30621	29198	25565	24315	27895	28425	29943	28509	28568	29331	35047	33523	35293	27652	22670	24832	30166	26566	26488	27827	27705	29756	22120	24467	21170	25859	19520	24066	20335	24580	25434	28978	27844	27646	26184	26538	22102	21338	22681	21191	21453	20713	27226	28027	29266	35034	28047	24971	23350	23821	23456	27428	24812	27686	31561	31082	33741
2.392500	42109	44629	42602	40419	24071	30330	26156	30305	27872	30930	32319	28972	22072	28452	31054	28510	23438	28933	28637	28128	30940	31514	28181	31764	28927	30107	32035	33979	31738	31727	31165	29897	24519	28824	28193	28142	30668	32528	32067	30369	29152	25505	24293	27852	28443	29790	28370	28518	29051	34723	33353	34702	27469	22504	24799	30171	26494	26501	27530	27397	29668	22101	24443	21138	25733	19393	24103	20163	24711	25364	29101	27876	27619	25950	26524	22204	21281	22469	21184	21182	21077	27179	27722	29436	34718	27976	24868	23438	23675	23259	27263	24708	27650	31431	30874	33636
2.481111	42149	44042	42365	40288	24027	30359	26033	30238	27800	30820	32388	28693	21813	28313	30903	28226	24117	28732	28683	27984	30818	31568	28158	31557	28455	30179	31711	33148	31547	31639	31187	29664	24285	28598	28137	28185	30492	32334	31912	30075	28732	25760	24081	27374	27919	29546	28298	28296	28931	34509	33198	34789	27206	22362	24732	30090	26616	26445	27679	27434	29609	22136	24373	21068	25499	19241	23841	20278	24759	25572	29872	28145	27478	25839	26577	21776	21305	22332	21166	20944	20826	27331	27644	29154	34575	27953	24974	23195	23691	23442	27091	24769	27598	31343	31016	33389
2.569722	41597	43812	42366	40210	23864	30084	25996	30114	27675	30495	32103	28386	21732	28394	30490	28376	23760	28767	28468	28331	30395	31499	27887	31559	28225	29877	31761	32713	31519	31452	30865	29518	24119	28526	27936	27882	30372	32067	31850	30074	28382	25771	24140	27296	28137	29398	28055	28417	28969	33932	33029	34804	27015	22368	24880	29935	26234	26512	27578	27251	29601	22066	24359	20971	25416	19276	23976	20022	24653	25505	30046	27949	27377	25727	26556	21977	21135	22261	21036	21049	20958	27004	27403	29344	34394	27996	24701	23164	23680	23316	26956	24666	27374	31174	30858	33179
2.658333	41578	43614	42028	39925	23892	30366	26011	30088	27782	30551	32122	28430	21539	28166	30694	28091	23775	28626	28436	28031	30368	31214	27848	31339	27994	29712	31569	32554	31144	31014	30664	29453	24156	28405	27910	27818	30268	31959	31623	29695	28487	25454	24032	27075	27649	29409	28122	28015	28733	33748	32786	34542	26765	22191	24901	29652	26245	26311	27580	27084	29240	21924	24230	20953	25318	19201	23945	19984	24706	25688	28919	28053	27345	25760	26516	21895	21107	22146	20965	21128	20651	27195	27591	29113	34134	27945	24690	23156	23824	23271	26805	24632	27387	31189	30750	33199
2.746944	41522	43352	41949	39557	24081	30073	25726	29827	27461	30510	31894	28077	21584	27982	30352	27829	23339	28448	28107	27923	30031	31102	27522	31347	27680	29504	31407	32312	31161	31120	30617	29084	24020	28341	27785	27714	29975	31724	31262	29834	28381	25590	24057	27285	27699	29123	28053	28163	28498	33967	32831	34203	26836	22341	24871	29665	26239	26351	27441	26944	29213	21869	24398	20949	25320	19102	23735	20010	24698	25583	29282	27889	27369	25545	26685	21820	21035	22278	20926	20877	20617	26987	27106	28935	34165	27912	24748	23224	23617	23213	26927	24549	27211	31122	30967	32967
2.835556	41413	43111	41459	39468	23861	30350	25927	29622	27584	30435	31875	28248	21406	27844	30310	27841	23350	28462	28241	27735	30234	30929	27764	31255	27388	29531	31265	31656	30834	31159	30431	29297	23818	28091	27516	27731	29912	31704	31149	29330	28226	25669	23927	27012	27471	29268	27763	27891	28340	33907	32672	34047	26827	22159	24971	29467	26161	26329	27448	26876	29129	21926	24118	20685	24933	18897	23711	19987	24673	25673	28812	27923	27140	25649	26460	21910	20882	22128	20913	21031	20562	27027	27288	28968	34025	27676	24544	22993	23411	23241	27060	24558	27080	31109	30684	33004
2.924167	41233	42887	41356	39702	23609	30471	25783	29672	27159	30214	31914	28098	21503	27645	30071	27950	23251	28334	28139	27514	29891	30668	27610	31232	27139	29368	31059	33121	30807	30827	30388	29071	23754	28155	27374	27437	29683	31233	31093	29318	28021	25665	23767	26809	27179	28889	27687	27920	28304	33651	32465	33837	26348	22135	25070	29393	26343	26316	27249	26767	28937	21831	24194	20627	24769	19025	23805	19781	24600	25565	29106	28145	27104	25437	26573	21812	20996	22211	20798	20691	20845	26900	27060	29233	33740	27641	24670	23105	23453	23250	26663	24558	26914	30790	30651	32428
3.012778	41049	42815	41035	39567	23523	30358	25613	29446	27053	30068	31808	28026	21403	27685	30113	27693	22602	28034	28165	27596	29906	30671	27493	31039	26787	29308	30811	32643	30597	30690	30295	28958	23660	27874	27464	27542	29655	31424	30856	29286	27786	25558	23750	26697	27281	28754	27747	27785	28105	33657	32534	33778	26477	22145	25100	29358	25935	26265	27019	26504	28804	21760	24247	20879	24677	18851	23508	19820	24515	25681	28896	27836	27048	25469	26543	21805	20766	22063	20821	20648	20412	26731	27258	29164	33740	27799	24565	22892	23475	23229	26710	24441	26792	30782	30668	32412
3.101389	40990	42598	41070	39184	23441	30337	25741	29199	27123	30130	31828	27861	21094	27495	29784	27603	23318	27975	27714	27515	29626	30404	27444	30918	26476	29094	30779	31651	30277	30550	30079	28756	23388	27774	27270	27651	29621	31219	30812	28947	27758	25525	23745	26771	27042	28617	27580	27616	27960	33467	32230	33535	26218	21947	25166	29509	25962	26129	27302	26570	28840	21794	24307	20656	24607	18789	23730	19824	24415	25818	28637	27941	26963	25354	26658	21830	20895	22109	20680	20580	20318	26758	26947	28803	33618	27690	24617	22965	23294	23111	26644	24390	26681	30563	30713	32362
3.190000	40906	42062	40744	39026	23546	30110	25596	29231	27051	29932	31464	27727	21160	27390	29859	27302	22729	28051	27553	27310	29521	30232	27493	30917	26311	28963	30584	31511	30257	30454	29919	28717	23534	27788	27509	27366	29213	31172	30651	28877	27473	25648	23710	26689	27010	28485	27410	27529	27882	33492	32135	33572	26088	22094	25275	29132	25864	25906	27085	26376	28655	21659	24130	20562	24588	18832	23438	19538	24476	25676	28846	27876	26880	25433	26443	21579	20566	22144	20706	20621	20447	26771	26979	28720	33314	27836	24521	22767	23371	23134	26445	24301	26604	30403	30727	32272
3.278611	40700	42077	40577	38947	23235	30007	25710	29018	27025	29811	31536	27762	21162	27201	29690	27234	22624	27664	27705	27362	29391	30054	27429	30905	26283	29012	30499	31357	30203	30303	29729	28719	23286	27342	27116	27224	29179	30938	30536	28888	27420	25451	23485	26645	26922	28258	27471	27335	27765	33148	32054	33353	26083	21935	25348	29001	25829	26063	26788	26441	28521	21786	24156	20579	24617	18834	23514	19744	24437	25620	28920	27842	26949	25293	26637	21862	20510	22125	20629	20712	20382	26671	26872	28884	33294	27602	24426	22690	23533	22850	26566	24096	26560	30461	30567	32212
3.367222	40696	42026	40335	38759	23371	29954	25290	28754	26810	29784	31434	27645	21085	27339	29427	27025	22304	27877	27556	27363	29610	29991	27511	30835	26205	28806	30265	31850	30002	30172	29611	28406	23338	27443	27093	27245	29204	30786	30250	28791	27382	25511	23447	26330	26650	28385	27263	27277	27558	33082	32066	33320	25784	22043	25081	29109	25785	26230	26812	26241	28472	21694	24039	20581	24271	18827	23382	19618	24295	25733	28677	27784	26716	25250	26633	21718	20500	22033	20548	20601	20311	26606	26919	28721	33053	27718	24412	22736	23298	23072	26490	24177	26517	30279	30674	32043
3.455833	40500	41527	39804	38497	23261	29805	25514	28687	26720	29669	31588	27567	20907	27018	29487	27000	22372	27473	27463	27230	29321	30115	27347	30556	25997	28624	30163	31617	29647	30002	29546	28385	23384	27382	27126	26973	28958	30556	30320	28810	27403	25646	23509	26316	26734	28148	27187	27112	27408	33157	31705	33264	25889	21846	25334	28872	25660	26422	26962	26200	28444	21498	24030	20440	24291	18788	23420	19626	24228	25811	28535	27762	26744	25257	26688	21478	20472	21898	20546	20441	20108	26565	26747	28969	33022	27683	24573	22812	23163	22935	26140	24055	26278	30197	30321	31736
3.544444	40368	41308	39899	38433	23157	29776	25426	28557	26692	29625	31480	27761	20733	26916	29179	26956	22852	27706	27329	27005	29125	29838	27036	30511	25851	28594	30227	32121	29735	30013	29416	28226	23181	27259	26927	27122	28884	30665	30248	28594	27155	25435	23378	26285	26727	28212	27060	27169	27465	32533	31857	33126	25818	21824	25344	28926	25597	26202	26820	26129	28342	21668	23968	20379	24278	18734	23393	19543	24269	25761	27906	27690	26668	25127	26793	21619	20223	21986	20575	20558	20144	26497	26738	28657	32770	27638	24417	22651	23138	23051	26234	24048	26278	29928	30629	31768
3.633056	40215	41263	39564	38440	23171	29618	25380	28589	26844	29433	31243	27392	20532	26806	29169	26911	22374	27394	27280	27130	29098	29853	27084	30676	26033	28407	30012	34371	29615	29935	29534	28225	23004	27301	27017	27073	28661	30200	29964	28513	26895	25538	23446	26309	26319	27875	27026	27228	27172	32143	31488	33094	25695	21915	25263	28984	25500	26080	26652	26201	28250	21618	24168	20458	23937	18762	23198	19458	24228	25659	28639	27725	26859	25110	26752	21303	20363	21976	20519	20479	20403	26390	26797	28574	32783	27707	24421	22505	23084	22810	26398	24145	26345	29991	30556	31514
3.721667	40175	40871	39668	38481	22993	29416	25452	28659	26770	29255	31254	27665	20718	26850	29245	26610	22045	27405	27182	26982	29033	29807	26966	30439	25991	28170	29974	30804	29374	29766	29232	28063	23137	27355	26806	26996	28712	30045	29693	28132	26906	25563	23373	26134	26310	27765	26948	27061	26981	32043	31729	32885	25484	21787	25328	28817	25435	26211	26820	25829	27966	21523	23964	20540	24116	18770	23295	19547	24316	25747	28362	27743	26741	24929	26706	21419	20260	21821	20424	20370	19948	26389	26616	28614	32739	27666	24258	22518	22833	22868	26301	24018	26249	29930	30547	31557
3.810278	40164	40635	39557	38093	23035	29237	25220	28403	26563	29361	30991	27222	20648	26736	28882	26758	21972	27235	27072	26803	28820	29617	27162	30392	25833	28161	29692	32352	29339	29996	29255	28022	22907	27092	26802	26776	28532	30087	29654	28198	26799	25623	23193	25945	26179	27503	26856	26782	26990	32007	31363	32759	25569	21815	25439	28851	25455	26067	26773	25924	28068	21374	23783	20334	23990	18883	23443	19400	24285	25557	28347	27861	26522	24870	26657	21420	20254	22005	20342	20419	20021	26229	26455	28599	32899	27597	24290	22533	22995	22693	26115	23957	26126	29867	30488	31306
3.898889	39994	40679	39244	38178	22785	29285	25163	28425	26542	29130	31031	27248	20308	26434	28830	26530	21772	27202	26944	26629	28726	29470	26905	30266	25717	28214	29441	32378	29281	29845	29180	28056	22977	27013	26656	26795	28358	29908	29729	28150	26633	25539	23238	25851	25983	27747	26892	26648	26769	32460	31283	32643	25432	21959	25349	28592	25381	25899	26769	25728	28082	21512	23947	20462	24008	18936	23272	19366	24298	25695	28385	27580	26412	24788	26709	21541	20126	21992	20493	20434	20089	26193	26304	28669	32487	27407	24157	22419	22910	22841	26006	23951	25993	29623	30343	31372
3.987500	39881	39890	38936	38172	22750	29205	25227	28365	26139	28902	30943	27058	20550	26371	28820	26508	21991	27121	26942	26737	28533	29374	26933	30334	25700	27797	29430	30787	29017	29764	28975	28051	22706	27048	26677	26534	28107	29776	29493	28062	26610	25608	23284	25841	26067	27689	26602	26700	26760	31934	31190	32478	25344	21676	25238	28731	25263	26060	26741	25843	27882	21454	24046	20329	23675	18978	23184	19221	24020	25668	28218	27826	26353	24901	26894	21405	20172	22020	20282	20360	19993	26094	26385	28585	32371	27558	24191	22390	22834	22701	26126	23869	26157	29553	30144	31196
